was	108.880	109.040
complete	109.040	109.440
My	112.560	112.800
bad	112.800	113.040
When	113.200	113.360
Jimmy	113.360	113.680
and	113.680	113.840
his	113.840	114.000
friends	114.000	114.480
unleashed	114.480	115.040
the	115.040	115.120
power	115.120	115.520
of	115.520	115.600
pandemonium	115.600	116.320
particles	116.320	116.880
the	117.040	117.120
Shroud	117.120	117.600
invaded	117.600	118.080
They'll	118.320	118.480
destroy	118.480	118.800
the	118.800	118.880
whole	118.880	119.040
world	119.040	119.360
just	119.360	119.600
to	119.600	119.600
get	119.600	119.760
the	119.760	119.840
P	119.840	120.000
P	120.000	120.320
Please	120.480	120.800
don't	120.800	120.960
call	120.960	121.120
it	121.120	121.200
that	121.280	121.440
P	121.520	121.680
P	121.680	121.920
Jimmy	122.320	122.560
uses	122.560	122.960
the	122.960	123.040
pandemonium	123.040	123.760
particles	123.760	124.320
to	124.320	124.400
create	124.400	124.720
experiments	124.720	125.360
like	125.360	125.600
you	125.600	125.840
and	126.160	126.560
banana	126.560	126.960
Why'd	127.280	127.360
you	127.360	127.360
say	127.440	127.680
banana	127.680	128.080
like	128.080	128.160
that	128.160	128.320
I	128.640	128.720
heard	128.720	128.880
a	128.880	128.880
tone	128.880	129.360
So	129.600	129.840
why	129.840	130.080
take	130.080	130.320
Jimmy	130.320	130.800
He's	130.880	131.120
the	131.120	131.200
only	131.200	131.360
one	131.360	131.520
that	131.520	131.600
knows	131.600	131.760
how	131.760	131.920
to	131.920	131.920
make	131.920	132.080
the	132.080	132.160
pink	132.160	132.480
stuff	132.480	132.720
How	132.720	133.200
Come	133.600	133.760
on	133.760	133.760
They're	134.240	134.320
probably	134.320	134.640
mashing	134.640	135.120
him	135.120	135.200
as	135.200	135.360
we	135.360	135.440
speak	135.440	136.000
If	136.080	136.160
the	136.160	136.240
talking	136.240	136.640
banana's	136.640	137.200
right	137.200	137.520
we	137.840	137.920
gotta	137.920	138.240
get	138.240	138.400
moving	138.400	138.880
They've	139.200	139.280
clearly	139.280	139.760
figured	139.760	140.000
out	140.000	140.240
a	140.240	140.320
way	140.320	140.480
to	140.560	140.640
evade	140.640	140.880
our	140.880	140.960
security	140.960	141.520
system	141.520	141.920
We	142.080	142.240
can't	142.240	142.560
track	142.720	143.040
them	143.040	143.280
He	143.440	143.520
could	143.520	143.680
be	143.680	143.840
anywhere	143.840	144.240
down	144.240	144.560
there	144.560	144.640
and	144.720	144.960
your	144.960	145.120
upgraded	145.120	145.680
powers	145.680	146.000
haven't	146.000	146.320
activated	146.320	146.960
yet	146.960	147.200
You're	147.440	147.600
no	147.680	147.920
match	147.920	148.320
for	148.320	148.400
the	148.400	148.480
Shroud	148.480	148.960
Oh	149.200	149.440
little	149.520	149.680
Miss	149.680	149.760
Sunshine	149.840	150.240
over	150.240	150.320
here	150.320	150.560
Banana	151.840	152.240
blaster	152.240	152.720
We	153.600	153.680
have	153.680	153.760
no	153.760	154.000
idea	154.000	154.400
where	154.400	154.560
Jimmy	154.560	154.880
is	154.880	155.120
or	155.280	155.440
how	155.440	155.600
many	155.600	155.840
Shroud	155.840	156.240
have	156.240	156.240
made	156.320	156.560
it	156.560	156.640
down	156.640	156.880
there	156.880	156.960
I'll	156.960	157.520
keep	157.520	157.760
each	157.840	158.080
level	158.080	158.400
sealed	158.400	158.800
until	158.800	159.040
you	159.040	159.200
clear	159.360	159.520
it	159.520	159.520
Okay	160.800	160.960
Panther	160.960	161.280
Here's	161.280	161.440
the	161.440	161.520
plan	161.520	161.760
You	162.000	162.160
Yeah	163.200	163.360
you're	163.520	163.600
in	163.600	163.680
charge	163.680	163.840
Buckle	164.080	164.400
up	164.400	164.560
banana	164.640	165.280
Oh	165.440	165.680
yeah	165.760	166.160
We're	167.040	167.200
gonna	167.200	167.360
save	167.360	167.760
Jimmy	167.920	168.400
Banana	168.480	168.720
blaster	168.880	168.960
Good	169.200	170.560
luck	170.560	170.720
Panther	170.880	171.040
You're	171.760	171.840
going	171.840	172.080
to	172.080	172.080
need	172.240	172.320
all	172.320	172.480
the	172.640	172.720
help	172.720	173.120
you	173.120	173.120
can	173.120	173.360
get	173.360	173.520
Banana	174.000	174.400
blaster	174.400	174.400
